name,area,zone,lat,lng,established_year,nearest_station,timings
Lalbaugcha Raja Sarvajanik Ganeshotsav Mandal,"Lalbaug Market, Parel",Central Mumbai,18.9910151,72.8374018,1934,Chinchpokli / Currey Road / Parel,5 AM – 11 PM (~24 hrs at peak)
GSB Seva Mandal (King's Circle),"King's Circle, Matunga",Central Mumbai,19.0291727,72.8583943,1951,King's Circle / Matunga,6 AM – 11 PM
Mumbaicha Raja (Ganesh Galli),"Ganesh Galli, Lalbaug",Central Mumbai,18.9939838,72.8373458,1928,Chinchpokli / Currey Road / Lower Parel,~7 AM – midnight
Andhericha Raja,"Veera Desai Road, Andheri West",Western Suburbs,19.1295977,72.8373776,1966,Andheri,5 AM onward (near 24 hrs)
Keshavji Naik Chawl Sarvajanik Ganeshotsav Mandal,"Khadilkar Road, Girgaon",South Mumbai,18.9546121,72.8221218,1893,Charni Road,Morning – night
Chinchpokli Sarvajanik Utsav Mandal (Chintamani),"Dattaram Lad Road, Chinchpokli",Central Mumbai,18.9880993,72.8332544,1920,Chinchpokli,Morning – night
Khetwadi 12th Lane S.G.M. (Khetwadi Ganraj),"12th Khetwadi Lane, Girgaon",South Mumbai,18.9603222,72.8211476,1959,Grant Road / Charni Road,Daytime – midnight
Tejukaya Sarvajanik Ganeshotsav Trust,"Tejukaya Mansion, Lalbaug",Central Mumbai,18.9936102,72.8358973,,Currey Road / Lower Parel,~6 AM – 11 PM
Nikadwari Lane S.G.M. (Girgaoncha Raja),"Nikadwari Lane, Girgaon",South Mumbai,18.9548304,72.8204520,1928,Charni Road,Open all day
Parel Sarvajanik Ganeshotsav Mandal (Narepark),"Narepark, Parel",Central Mumbai,18.9996684,72.8388086,1947,Parel / Currey Road,Morning – night
Sahyadri Krida Mandal,"Tilak Nagar, Chembur",Eastern Suburbs,19.0690734,72.8973034,1977,Chembur,Evening – late night
Fort Vibhag Sarvajanik Ganeshotsav Mandal,"Mint Road, Fort",South Mumbai,18.9379269,72.8372378,,Churchgate / CSMT,Open all day
"GSB Seva Mandal, Wadala","Near Ram Mandir, Wadala",Central Mumbai,19.0157236,72.8519126,,Wadala,Daytime – night
Navi Mumbaicha Raja (Shiv Chhaya Mitra Mandal),"CIDCO Ground, Sector 21, Turbhe",Navi Mumbai,19.0738,73.0122,1971,Turbhe,Open all day
Vashi Cha Raja,"Sector 1, Vashi",Navi Mumbai,19.0701255,72.9966182,,Vashi,Daytime – night
Kharghar Cha Raja,"Sector 12, Kharghar",Navi Mumbai,19.0439138,73.0656152,,Kharghar,Daytime – night
CBD Cha Raja,CBD Belapur,Navi Mumbai,19.0221652,73.0390426,,CBD Belapur,Daytime – night
